s_euclidean_plane | axiom | Euclidean plane ℝ²
s_reed_solomon_distance | theorem | Reed–Solomon distance / BCH bound
s_rs_code_definition | state | rs code definition
s_root_count_argument | state | root count argument
s_helly_theorem | theorem | Helly's theorem
s_helly_local_hypothesis | state | helly local hypothesis
s_radon_partition_step | state | radon partition step
s_caratheodory_convex | theorem | Carathéodory's theorem (convex hull)
s_convex_combination_with_k_points | state | convex combination with k points
s_affine_dependence_relation | state | affine dependence relation
s_radon_theorem | theorem | Radon's theorem
s_d_plus_two_points | state | d plus two points
s_linear_dependence_in_d_plus_one | state | linear dependence in d plus one
s_tverberg_theorem | theorem | Tverberg's theorem
s_tverberg_input_count | state | tverberg input count
s_deleted_join_configuration_space | state | deleted join configuration space
s_colored_tverberg | theorem | Colored Tverberg (Bárány–Larman / Blagojević–Matschke–Ziegler)
s_rainbow_partition_problem | state | rainbow partition problem
s_chessboard_complex | state | chessboard complex
s_barany_point_selection | theorem | Bárány's point-selection theorem
s_simplex_family_on_n_points | state | simplex family on n points
s_lp_strong_duality | theorem | LP strong duality
s_primal_dual_lp_pair | state | primal dual lp pair
s_lp_weak_duality | state | lp weak duality
s_farkas_lemma | theorem | Farkas's lemma
s_farkas_alternatives | state | farkas alternatives
s_separating_hyperplane_for_cone | state | separating hyperplane for cone
s_gordan_theorem | theorem | Gordan's theorem of alternatives
s_gordan_alternatives | state | gordan alternatives
s_stiemke_theorem | theorem | Stiemke's theorem
s_stiemke_alternatives | state | stiemke alternatives
s_khachiyan_ellipsoid | theorem | Ellipsoid method polynomial-time (Khachiyan)
s_separation_oracle_lp | state | separation oracle lp
s_ellipsoid_volume_shrinkage_iteration | state | ellipsoid volume shrinkage iteration
s_karmarkar_polynomial_lp | theorem | Karmarkar interior-point polynomial-time
s_projective_lp_form | state | projective lp form
s_karmarkar_potential_decrease | state | karmarkar potential decrease
s_max_flow_min_cut | theorem | Max-flow min-cut theorem (Ford–Fulkerson)
s_network_flow_model | state | network flow model
s_residual_graph_construction | state | residual graph construction
s_no_augmenting_path_implies_min_cut | state | no augmenting path implies min cut
s_edmonds_matroid_intersection | theorem | Edmonds' matroid intersection theorem
s_two_matroids_on_e | state | two matroids on e
s_exchange_digraph_construction | state | exchange digraph construction
s_aks_primality_theorem | theorem | AKS primality test (deterministic polynomial-time)
s_aks_polynomial_identity | state | aks polynomial identity
s_aks_reduced_identity_modulo_x_r_minus_1 | state | aks reduced identity modulo x r minus 1
s_introspective_set_bound | state | introspective set bound
s_cantor_zassenhaus | theorem | Cantor–Zassenhaus factorization
s_equal_degree_factor_setting | state | equal degree factor setting
s_random_h_power_construction | state | random h power construction
s_berlekamp_factorization | theorem | Berlekamp factorization
s_quotient_ring_for_f | state | quotient ring for f
s_berlekamp_subalgebra | state | berlekamp subalgebra
s_subalgebra_crt_decomposition | state | subalgebra crt decomposition
s_lll_algorithm_theorem | theorem | LLL lattice basis reduction
s_lattice_basis_with_gso | state | lattice basis with gso
s_lll_swap_and_reduce_step | state | lll swap and reduce step
s_lll_potential_decrease | state | lll potential decrease
s_master_theorem | theorem | Master theorem for divide-and-conquer recurrences
s_divide_and_conquer_recurrence | state | divide and conquer recurrence
s_recursion_tree_decomposition | state | recursion tree decomposition
s_pumping_lemma_regular | theorem | Pumping lemma for regular languages
s_dfa_with_p_states | state | dfa with p states
s_revisited_state_loop | state | revisited state loop
s_myhill_nerode_theorem | theorem | Myhill–Nerode theorem
s_nerode_equivalence_relation | state | nerode equivalence relation
s_minimal_dfa_isomorphism | state | minimal dfa isomorphism
s_kleene_regex_dfa | theorem | Kleene's theorem (regex = DFA)
s_regex_syntax | state | regex syntax
s_thompson_nfa_construction | state | thompson nfa construction
s_chomsky_schutzenberger | theorem | Chomsky–Schützenberger representation theorem
s_cfl_definition | state | cfl definition
s_dyck_language_universal | state | dyck language universal
s_parikh_theorem | theorem | Parikh's theorem
s_parikh_map | state | parikh map
s_cf_parse_tree_pumping_step | state | cf parse tree pumping step
s_ogden_lemma | theorem | Ogden's lemma
s_marked_string_in_cfl | state | marked string in cfl
s_marked_parse_path_pumping | state | marked parse path pumping
s_rabin_scott_subset_construction | theorem | Rabin–Scott subset construction (NFA = DFA)
s_nfa_model | state | nfa model
s_subset_dfa_construction | state | subset dfa construction
s_trakhtenbrot_theorem | theorem | Trakhtenbrot's theorem (finite-model satisfiability undecidable)
s_fo_encoding_of_tm_computation | state | fo encoding of tm computation
s_finite_model_iff_halting | state | finite model iff halting
s_khinchin_recurrence | theorem | Khinchin recurrence theorem
s_set_of_positive_measure_A | axiom | set of positive measure A
s_ergodic_average_of_indicator | state | ergodic average of indicator
s_orthogonal_projection_onto_invariants | state | orthogonal projection onto invariants
s_density_lower_bound_on_return_times | state | density lower bound on return times
s_furstenberg_multiple_recurrence | theorem | Furstenberg multiple recurrence theorem
s_furstenberg_structure_tower | state | furstenberg structure tower
s_distal_factor_with_AP_returns | state | distal factor with AP returns
s_von_neumann_mean_ergodic | theorem | von Neumann mean ergodic theorem
s_unitary_operator_on_hilbert_space | axiom | unitary operator on hilbert space
s_spectral_measure_on_unit_circle | state | spectral measure on unit circle
s_orthogonal_decomposition_fixed_plus_coboundary | state | orthogonal decomposition fixed plus coboundary
s_wiener_ergodic_l1 | theorem | Wiener ergodic theorem (L¹)
s_L1_function | axiom | L1 function
s_hardy_littlewood_maximal_for_T | state | hardy littlewood maximal for T
s_weak_type_inequality_for_averages | state | weak type inequality for averages
s_kingman_subadditive_ergodic | theorem | Kingman subadditive ergodic theorem
s_subadditive_cocycle | axiom | subadditive cocycle
s_invariant_limsup_liminf_pair | state | invariant limsup liminf pair
s_block_decomposition_with_controlled_error | state | block decomposition with controlled error
s_oseledec_multiplicative_ergodic | theorem | Oseledec multiplicative ergodic theorem
s_matrix_cocycle_over_T | axiom | matrix cocycle over T
s_lyapunov_growth_function | state | lyapunov growth function
s_singular_value_filtration | state | singular value filtration
s_lyapunov_spectrum_a_e | state | lyapunov spectrum a e
s_pesin_entropy_formula | theorem | Pesin entropy formula
s_smooth_volume_preserving_diffeomorphism | axiom | smooth volume preserving diffeomorphism
s_oseledec_splitting_for_f | state | oseledec splitting for f
s_local_unstable_manifold_family | state | local unstable manifold family
s_conditional_entropy_along_unstable | state | conditional entropy along unstable
s_margulis_ruelle_inequality | theorem | Margulis–Ruelle inequality
s_C1_diffeomorphism_of_compact_manifold | axiom | C1 diffeomorphism of compact manifold
s_invariant_borel_probability | axiom | invariant borel probability
s_lyapunov_exponents_ae | state | lyapunov exponents ae
s_partition_subordinate_to_expanding | state | partition subordinate to expanding
s_variational_principle_entropy | theorem | Variational principle for topological entropy
s_continuous_self_map_of_compact_space | axiom | continuous self map of compact space
s_topological_entropy_h_top | state | topological entropy h top
s_measure_entropy_bounded_by_h_top | state | measure entropy bounded by h top
s_supremum_attained_by_invariant_measure | state | supremum attained by invariant measure
s_krylov_bogolyubov_invariant_measure | theorem | Krylov–Bogolyubov existence of invariant measures
s_cesaro_average_of_dirac_orbits | state | cesaro average of dirac orbits
s_weak_star_limit_point_of_averages | state | weak star limit point of averages
s_hopf_decomposition | theorem | Hopf decomposition theorem
s_conservative_dissipative_split | state | conservative dissipative split
s_invariant_partition_C_D | state | invariant partition C D
s_ergodic_decomposition_theorem | theorem | Ergodic decomposition theorem
s_invariant_probability_measure | axiom | invariant probability measure
s_conditional_measure_family | state | conditional measure family
s_ergodic_components_disintegration | state | ergodic components disintegration
s_bowen_specification_unique_equilibrium | theorem | Bowen's specification property implies unique equilibrium
s_expansive_homeomorphism_with_specification | axiom | expansive homeomorphism with specification
s_holder_potential_phi | axiom | holder potential phi
s_bowen_partition_function_Z_n | state | bowen partition function Z n
s_topological_pressure_P_phi | state | topological pressure P phi
s_eigenmeasure_for_L_phi | state | eigenmeasure for L phi
s_bowen_dimension_formula | theorem | Bowen formula for Hausdorff dimension of repellers
s_conformal_expanding_repeller_J | axiom | conformal expanding repeller J
s_geometric_pressure_function_P_s | state | geometric pressure function P s
s_bowen_root_s_star | state | bowen root s star
s_curtis_hedlund_lyndon | theorem | Curtis–Hedlund–Lyndon theorem
s_shift_space_A_Z | axiom | shift space A Z
s_continuous_shift_commuting_map | axiom | continuous shift commuting map
s_uniform_continuity_via_compactness | state | uniform continuity via compactness
s_local_rule_of_radius_r | state | local rule of radius r
s_williams_shift_equivalence | theorem | Williams classification of SFTs up to shift equivalence
s_subshift_of_finite_type | axiom | subshift of finite type
s_transition_matrix_presentation_A | state | transition matrix presentation A
s_strong_shift_equivalence_chain | state | strong shift equivalence chain
s_singer_theorem | theorem | Singer's theorem (negative Schwarzian implies bounded attractors)
s_interval_map_with_negative_schwarzian | axiom | interval map with negative schwarzian
s_negative_schwarzian_preserved_under_iteration | state | negative schwarzian preserved under iteration
s_basin_with_no_interior_critical_point_or_boundary | state | basin with no interior critical point or boundary
s_thurston_pcf_rigidity | theorem | Misiurewicz–Thurston rigidity for postcritically finite maps
s_postcritically_finite_branched_cover_of_S2 | axiom | postcritically finite branched cover of S2
s_teichmuller_pullback_map_sigma_f | state | teichmuller pullback map sigma f
s_fixed_point_or_obstruction_dichotomy | state | fixed point or obstruction dichotomy
s_hadamard_perron_stable_manifold | theorem | Hadamard–Perron stable/unstable manifold theorem
s_hyperbolic_fixed_point_of_diffeomorphism | axiom | hyperbolic fixed point of diffeomorphism
s_graph_transform_operator | state | graph transform operator
s_invariant_lipschitz_graph_W_s | state | invariant lipschitz graph W s
